"LOCATION","Country","SEX","Sex","AGE","Age","VAR","Variant","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1965","1965","PER","Persons","3","Thousands",,,11340.9,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1966","1966","PER","Persons","3","Thousands",,,11599.5,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1967","1967","PER","Persons","3","Thousands",,,11799.08,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1968","1968","PER","Persons","3","Thousands",,,12008.63,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1969","1969","PER","Persons","3","Thousands",,,12263.01,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1970","1970","PER","Persons","3","Thousands",,,12507.35,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1971","1971","PER","Persons","3","Thousands",,,13067.26,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1972","1972","PER","Persons","3","Thousands",,,13303.66,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1973","1973","PER","Persons","3","Thousands",,,13504.54,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1974","1974","PER","Persons","3","Thousands",,,13722.57,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1975","1975","PER","Persons","3","Thousands",,,13893,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1976","1976","PER","Persons","3","Thousands",,,14033.08,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1977","1977","PER","Persons","3","Thousands",,,14192.23,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1978","1978","PER","Persons","3","Thousands",,,14359.25,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1979","1979","PER","Persons","3","Thousands",,,14515.73,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1980","1980","PER","Persons","3","Thousands",,,14695.36,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1981","1981","PER","Persons","3","Thousands",,,14923.26,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1982","1982","PER","Persons","3","Thousands",,,15184.25,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1983","1983","PER","Persons","3","Thousands",,,15393.47,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1984","1984","PER","Persons","3","Thousands",,,15579.39,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1985","1985","PER","Persons","3","Thousands",,,15788.31,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1986","1986","PER","Persons","3","Thousands",,,16018.35,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1987","1987","PER","Persons","3","Thousands",,,16263.87,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1988","1988","PER","Persons","3","Thousands",,,16532.16,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1989","1989","PER","Persons","3","Thousands",,,16814.42,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1990","1990","PER","Persons","3","Thousands",,,17065.13,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1991","1991","PER","Persons","3","Thousands",,,17284.04,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1992","1992","PER","Persons","3","Thousands",,,17479,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1993","1993","PER","Persons","3","Thousands",,,17634,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1994","1994","PER","Persons","3","Thousands",,,17805,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1995","1995","PER","Persons","3","Thousands",,,18004,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1996","1996","PER","Persons","3","Thousands",,,18226,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1997","1997","PER","Persons","3","Thousands",,,18421,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1998","1998","PER","Persons","3","Thousands",,,18609,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1999","1999","PER","Persons","3","Thousands",,,18813,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2000","2000","PER","Persons","3","Thousands",,,19028,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2001","2001","PER","Persons","3","Thousands",,,19275,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2002","2002","PER","Persons","3","Thousands",,,19495,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2003","2003","PER","Persons","3","Thousands",,,19720,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2004","2004","PER","Persons","3","Thousands",,,19934,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2005","2005","PER","Persons","3","Thousands",,,20178,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2006","2006","PER","Persons","3","Thousands",,,20452,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2007","2007","PER","Persons","3","Thousands",,,20828,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2008","2008","PER","Persons","3","Thousands",,,21251,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2009","2009","PER","Persons","3","Thousands",,,21690,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2010","2010","PER","Persons","3","Thousands",,,22032,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2011","2011","PER","Persons","3","Thousands",,,22340,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2012","2012","PER","Persons","3","Thousands",,,22730,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2013","2013","PER","Persons","3","Thousands",,,23124,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2014","2014","PER","Persons","3","Thousands",,,23490,"B","Break"
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2015","2015","PER","Persons","3","Thousands",,,23941,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2016","2016","PER","Persons","3","Thousands",,,24361,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2017","2017","PER","Persons","3","Thousands",,,24782,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2018","2018","PER","Persons","3","Thousands",,,25200,,
"AUS","Australia","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","2019","2019","PER","Persons","3","Thousands",,,25620,,
"AUT","Austria","TT","All persons","D199G5TT","Population (hist&proj) All ages","VAR1","Baseline","1965","1965","PER","Persons","3","Thousands",,,7270.882,,
