,index,Country,Year,GHG
0,0,Australia,1990,424998.381
1,1,Australia,1991,426015.21
2,2,Australia,1992,430216.38
3,3,Australia,1993,430612.556
4,4,Australia,1994,430653.332
5,5,Australia,1995,439004.901
6,6,Australia,1996,446681.85
7,7,Australia,1997,458841.602
8,8,Australia,1998,472629.669
9,9,Australia,1999,478199.841
10,10,Australia,2000,489373.842
11,11,Australia,2001,496982.31
12,12,Australia,2002,500807.889
13,13,Australia,2003,502301.775
14,14,Australia,2004,520315.182
15,15,Australia,2005,526206.973
16,16,Australia,2006,530787.988
17,17,Australia,2007,536888.602
18,18,Australia,2008,540669.0
19,19,Australia,2009,544285.462
20,20,Australia,2010,540571.41
21,21,Australia,2011,542511.918
22,22,Australia,2012,544732.756
23,23,Australia,2013,535006.814
24,24,Australia,2014,530411.018
25,25,Australia,2015,538618.776
26,26,Australia,2016,548862.546
27,27,Australia,2017,556612.265
28,28,Australia,2018,558047.22
29,29,Australia,1990,100.0
30,30,Australia,1991,100.239
31,31,Australia,1992,101.228
32,32,Australia,1993,101.321
33,33,Australia,1994,101.331
34,34,Australia,1995,103.296
35,35,Australia,1996,105.102
36,36,Australia,1997,107.963
37,37,Australia,1998,111.207
38,38,Australia,1999,112.518
39,39,Australia,2000,115.147
40,40,Australia,2001,116.937
41,41,Australia,2002,117.838
42,42,Australia,2003,118.189
43,43,Australia,2004,122.428
44,44,Australia,2005,123.814
45,45,Australia,2006,124.892
46,46,Australia,2007,126.327
47,47,Australia,2008,127.217
48,48,Australia,2009,128.068
49,49,Australia,2010,127.194
50,50,Australia,2011,127.65
51,51,Australia,2012,128.173
52,52,Australia,2013,125.884
53,53,Australia,2014,124.803
54,54,Australia,2015,126.734
55,55,Australia,2016,129.145
56,56,Australia,2017,130.968
57,57,Australia,2018,131.306
58,58,Australia,1990,25.058
59,59,Australia,1991,24.784
60,60,Australia,1992,24.722
61,61,Australia,1993,24.462
62,62,Australia,1994,24.196
63,63,Australia,1995,24.399
64,64,Australia,1996,24.557
65,65,Australia,1997,24.954
66,66,Australia,1998,25.428
67,67,Australia,1999,25.452
68,68,Australia,2000,25.768
69,69,Australia,2001,25.892
70,70,Australia,2002,25.813
71,71,Australia,2003,25.596
72,72,Australia,2004,26.173
73,73,Australia,2005,26.078
74,74,Australia,2006,25.859
75,75,Australia,2007,25.668
76,76,Australia,2008,25.345
77,77,Australia,2009,25.024
78,78,Australia,2010,24.4
79,79,Australia,2011,24.071
80,80,Australia,2012,23.783
81,81,Australia,2013,23.006
82,82,Australia,2014,22.478
83,83,Australia,2015,22.506
84,84,Australia,2016,22.622
85,85,Australia,2017,22.641
86,86,Australia,2018,22.413
87,87,Australia,1990,278424.66
88,88,Australia,1991,279872.66
89,89,Australia,1992,284912.438
90,90,Australia,1993,289235.186
91,91,Australia,1994,294014.961
92,92,Australia,1995,305410.167
93,93,Australia,1996,312361.586
94,94,Australia,1997,320795.086
95,95,Australia,1998,334684.518
96,96,Australia,1999,344063.766
97,97,Australia,2000,350195.024
98,98,Australia,2001,357669.183
99,99,Australia,2002,362209.546
100,100,Australia,2003,369726.018
101,101,Australia,2004,383205.122
102,102,Australia,2005,386513.454
103,103,Australia,2006,392680.646
104,104,Australia,2007,399842.461
105,105,Australia,2008,404417.407
106,106,Australia,2009,407463.328
107,107,Australia,2010,405502.799
108,108,Australia,2011,404172.757
109,109,Australia,2012,406506.242
110,110,Australia,2013,397943.179
111,111,Australia,2014,394116.892
112,112,Australia,2015,401554.757
113,113,Australia,2016,411031.531
114,114,Australia,2017,415097.428
115,115,Australia,2018,415953.947
116,116,Australia,1990,124383.179
117,117,Australia,1991,124308.869
118,118,Australia,1992,123741.408
119,119,Australia,1993,120117.915
120,120,Australia,1994,116834.942
121,121,Australia,1995,115158.282
122,122,Australia,1996,115355.759
123,123,Australia,1997,118199.041
124,124,Australia,1998,117153.718
125,125,Australia,1999,113023.535
126,126,Australia,2000,116699.185
127,127,Australia,2001,115299.175
128,128,Australia,2002,113507.386
129,129,Australia,2003,108063.873
130,130,Australia,2004,110200.455
131,131,Australia,2005,111908.876
132,132,Australia,2006,111344.131
133,133,Australia,2007,111065.157
134,134,Australia,2008,109353.593
135,135,Australia,2009,108388.536
136,136,Australia,2010,106258.986
137,137,Australia,2011,108278.926
138,138,Australia,2012,107907.073
139,139,Australia,2013,107218.469
140,140,Australia,2014,105070.906
141,141,Australia,2015,105368.801
142,142,Australia,2016,105873.93
143,143,Australia,2017,108170.696
144,144,Australia,2018,109532.21
145,145,Australia,1990,15938.285
146,146,Australia,1991,15558.912
147,147,Australia,1992,15367.956
148,148,Australia,1993,15837.186
149,149,Australia,1994,16316.051
150,150,Australia,1995,15585.369
151,151,Australia,1996,16850.841
152,152,Australia,1997,17647.323
153,153,Australia,1998,17892.418
154,154,Australia,1999,18387.652
155,155,Australia,2000,19366.191
156,156,Australia,2001,19686.166
157,157,Australia,2002,20212.34
158,158,Australia,2003,19019.889
159,159,Australia,2004,20697.955
160,160,Australia,2005,20793.963
161,161,Australia,2006,20723.376
162,162,Australia,2007,19156.994
163,163,Australia,2008,19431.196
164,164,Australia,2009,19818.98
165,165,Australia,2010,19711.354
166,166,Australia,2011,20478.323
167,167,Australia,2012,20821.194
168,168,Australia,2013,19651.621
169,169,Australia,2014,20096.664
170,170,Australia,2015,19557.631
171,171,Australia,2016,19566.392
172,172,Australia,2017,21265.585
173,173,Australia,2018,20114.445
174,174,Australia,1990,1424.684
175,175,Australia,1991,1424.684
176,176,Australia,1992,1333.184
177,177,Australia,1993,1829.872
178,178,Australia,1994,1027.344
179,179,Australia,1995,1004.032
180,180,Australia,1996,414.171
181,181,Australia,1997,705.228
182,182,Australia,1998,998.29
183,183,Australia,1999,1374.54
184,184,Australia,2000,1613.953
185,185,Australia,2001,2307.108
186,186,Australia,2002,2925.898
187,187,Australia,2003,3578.897
188,188,Australia,2004,4267.137
189,189,Australia,2005,5002.762
190,190,Australia,2006,5166.706
191,191,Australia,2007,6066.186
192,192,Australia,2008,6858.964
193,193,Australia,2009,8109.073
194,194,Australia,2010,8672.212
195,195,Australia,2011,9139.821
196,196,Australia,2012,9055.869
197,197,Australia,2013,9859.713
198,198,Australia,2014,10778.852
199,199,Australia,2015,11795.325
200,200,Australia,2016,11979.462
201,201,Australia,2017,11685.936
202,202,Australia,2018,11982.082
203,203,Australia,1990,4607.013
204,204,Australia,1991,4610.743
205,205,Australia,1992,4603.283
206,206,Australia,1993,3315.528
207,207,Australia,1994,2164.429
208,208,Australia,1995,1530.836
209,209,Australia,1996,1410.395
210,210,Australia,1997,1228.151
211,211,Australia,1998,1660.519
212,212,Australia,1999,1139.059
213,213,Australia,2000,1287.062
214,214,Australia,2001,1801.882
215,215,Australia,2002,1727.623
216,216,Australia,2003,1683.985
217,217,Australia,2004,1713.849
218,218,Australia,2005,1791.701
219,219,Australia,2006,687.06
220,220,Australia,2007,582.677
221,221,Australia,2008,444.517
222,222,Australia,2009,358.552
223,223,Australia,2010,283.315
224,224,Australia,2011,301.305
225,225,Australia,2012,294.883
226,226,Australia,2013,192.001
227,227,Australia,2014,192.536
228,228,Australia,2015,171.324
229,229,Australia,2016,224.924
230,230,Australia,2017,202.626
231,231,Australia,2018,236.003
232,232,Australia,1990,220.56
233,233,Australia,1991,239.342
234,234,Australia,1992,258.112
235,235,Australia,1993,276.869
236,236,Australia,1994,295.606
237,237,Australia,1995,316.215
238,238,Australia,1996,289.098
239,239,Australia,1997,266.773
240,240,Australia,1998,240.207
241,241,Australia,1999,211.289
242,242,Australia,2000,212.427
243,243,Australia,2001,218.796
244,244,Australia,2002,225.095
245,245,Australia,2003,229.114
246,246,Australia,2004,230.665
247,247,Australia,2005,196.216
248,248,Australia,2006,186.069
249,249,Australia,2007,175.128
250,250,Australia,2008,163.325
251,251,Australia,2009,146.993
252,252,Australia,2010,142.744
253,253,Australia,2011,140.786
254,254,Australia,2012,147.496
255,255,Australia,2013,141.832
256,256,Australia,2014,155.168
257,257,Australia,2015,170.938
258,258,Australia,2016,186.307
259,259,Australia,2017,189.994
260,260,Australia,2018,228.533
261,9583,Australia,1990,294160.598
262,9584,Australia,1991,296723.698
263,9585,Australia,1992,303302.861
264,9586,Australia,1993,306132.737
265,9587,Australia,1994,306816.102
