,country,year,co2,co2_per_gdp,share_global_co2,co2_per_capita,co2_per_unit_energy,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp,group1,group2,group3,group4,group5,growth_co2,growth_primary_energy,growth_pop,growth_co2_per_gdp,growth_co2_per_capita,growth_energy_per_gdp,growth_energy_per_capita
0,Australia,1990,278.425,0.591,1.227,16.416,0.264,1054.888,62194.891,2.24,16961000.0,471000000000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Australia,1991,279.873,0.611,1.208,16.282,0.267,1048.013,60969.963,2.288,17189000.0,458000000000.0,0.0,1.0,0.0,1.0,0.0,0.00520068240998466,-0.006517279559536179,0.013442603620069571,0.03384094754653134,-0.008162768031189104,-0.01969499391839114,0.02142857142857125
2,Australia,1992,284.912,0.586,1.269,16.372,0.269,1058.629,60833.735,2.178,17402000.0,486000000000.0,0.0,1.0,0.0,1.0,0.0,0.02329891353147155,0.0035463480483236,0.0260008254230293,-0.008460236886632834,-0.002680311890838236,-0.02188533460087586,-0.02767857142857155
3,Australia,1993,289.235,0.581,1.275,16.431,0.266,1088.799,61853.014,2.186,17603000.0,498000000000.0,0.0,1.0,0.0,1.0,0.0,0.03882553649995511,0.03214654067540825,0.03785154177230116,-0.01692047377326567,0.0009137426900585142,-0.005496866294049786,-0.024107142857142976
4,Australia,1994,294.015,0.562,1.287,16.519,0.26,1132.366,63619.634,2.165,17799000.0,523000000000.0,0.0,1.0,0.0,1.0,0.0,0.055993535063302416,0.07344665974018101,0.04940746418253641,-0.04906937394247025,0.00627436647173477,0.022907717613010928,-0.03348214285714293
5,Australia,1995,305.41,0.559,1.309,16.974,0.263,1162.525,64609.823,2.129,17993000.0,546000000000.0,0.0,1.0,0.0,1.0,0.0,0.09692017598994347,0.10203642471997044,0.060845469017157004,-0.05414551607444995,0.033991228070175426,0.03882846261439695,-0.049553571428571516
6,Australia,1996,312.362,0.549,1.299,17.173,0.262,1191.838,65525.196,2.095,18189000.0,569000000000.0,0.0,1.0,0.0,1.0,0.0,0.12188919816826797,0.1298242088259607,0.07240139142739226,-0.07106598984771562,0.046113547758284475,0.0535462792273404,-0.06473214285714286
7,Australia,1997,320.795,0.541,1.326,17.447,0.263,1222.002,66460.128,2.061,18387000.0,593000000000.0,0.0,1.0,0.0,1.0,0.0,0.15217742659603126,0.1584187136454297,0.08407523141324215,-0.08460236886632815,0.06280458089668609,0.06857857504726543,-0.0799107142857144
8,Australia,1998,334.685,0.545,1.388,18.006,0.268,1250.569,67281.935,2.037,18587000.0,614000000000.0,0.0,1.0,0.0,1.0,0.0,0.2020651881116997,0.18549931367121444,0.09586698897470668,-0.07783417935702189,0.09685672514619882,0.08179199156406583,-0.09062500000000012
9,Australia,1999,344.064,0.532,1.408,18.313,0.264,1305.306,69475.526,2.017,18788000.0,647000000000.0,0.0,1.0,0.0,1.0,0.0,0.23575109993714646,0.23738823458035369,0.10771770532397854,-0.09983079526226725,0.11555799220272894,0.11706162488491208,-0.09955357142857156
10,Australia,2000,350.195,0.515,1.394,18.44,0.267,1310.942,69029.632,1.928,18991000.0,680000000000.0,0.0,1.0,0.0,1.0,0.0,0.2577713926551135,0.24273098186726944,0.11968633924886504,-0.12859560067681888,0.12329434697855755,0.10989232218447001,-0.1392857142857144
11,Australia,2001,357.669,0.515,1.412,18.633,0.27,1323.379,68943.934,1.907,19195000.0,694000000000.0,0.0,1.0,0.0,1.0,0.0,0.28461524647571146,0.25452085908646227,0.13171393196155887,-0.12859560067681888,0.1350511695906432,0.10851442765612355,-0.14866071428571434
12,Australia,2002,362.21,0.5,1.398,18.67,0.27,1343.29,69238.187,1.855,19401000.0,724000000000.0,0.0,1.0,0.0,1.0,0.0,0.3009248451108915,0.273395848658815,0.14385944224986735,-0.15397631133671738,0.13730506822612093,0.113245571891106,-0.17187500000000008
13,Australia,2003,369.726,0.498,1.36,18.841,0.271,1363.812,69497.139,1.838,19624000.0,742000000000.0,0.0,1.0,0.0,1.0,0.0,0.32791954745443114,0.29285004664002245,0.1570072519309003,-0.15736040609137053,0.14772173489278756,0.11740912931256672,-0.17946428571428577
14,Australia,2004,383.205,0.496,1.346,19.276,0.272,1409.419,70896.311,1.823,19880000.0,773000000000.0,0.0,1.0,0.0,1.0,0.0,0.3763311484241716,0.3360840202940978,0.1721007016095749,-0.16074450084602365,0.1742202729044834,0.139905703830239,-0.18616071428571437
15,Australia,2005,386.513,0.468,1.314,19.154,0.275,1405.726,69662.82,1.702,20179000.0,826000000000.0,0.0,1.0,0.0,1.0,0.0,0.3882122654215676,0.3325831747066989,0.1897293791639644,-0.20812182741116741,0.1667884990253411,0.12007302979275264,-0.24017857142857152
16,Australia,2006,392.681,0.466,1.293,19.131,0.264,1489.986,72590.178,1.77,20526000.0,842000000000.0,0.0,1.0,0.0,1.0,0.0,0.41036544850498324,0.4124589529883743,0.21018807853310537,-0.21150592216582056,0.16538742690058478,0.16714052927594963,-0.20982142857142863
17,Australia,2007,399.842,0.456,1.278,19.117,0.265,1510.48,72216.48,1.722,20916000.0,877000000000.0,0.0,1.0,0.0,1.0,0.0,0.4360851216665169,0.4318866078673756,0.2331820057779612,-0.22842639593908623,0.1645346003898636,0.16113202931732756,-0.2312500000000001
18,Australia,2008,404.417,0.434,1.266,18.958,0.263,1538.33,72113.749,1.651,21332000.0,932000000000.0,0.0,1.0,0.0,1.0,0.0,0.45251683577264956,0.45828751488309666,0.25770886150580746,-0.2656514382402707,0.15484892787524354,0.15948026985046074,-0.26294642857142864
19,Australia,2009,407.463,0.44,1.295,18.733,0.267,1527.844,70242.482,1.648,21751000.0,927000000000.0,0.0,1.0,0.0,1.0,0.0,0.46345694531741044,0.44834712310690816,0.28241259359707566,-0.2554991539763113,0.1411427875243665,0.12939312008762907,-0.2642857142857144
20,Australia,2010,405.503,0.408,1.224,18.303,0.264,1534.103,69244.097,1.543,22155000.0,994000000000.0,0.0,1.0,0.0,1.0,0.0,0.4564173475801382,0.45428045441790993,0.306231943871234,-0.3096446700507614,0.11494883040935674,0.11334059577337294,-0.3111607142857144
21,Australia,2011,404.173,0.392,1.181,17.933,0.255,1585.808,70361.53,1.54,22538000.0,1030000000000.0,0.0,1.0,0.0,1.0,0.0,0.4516404776869893,0.5032951365453016,0.3288131596014386,-0.3367174280879864,0.09240984405458086,0.13130723229340485,-0.31250000000000006
22,Australia,2012,406.506,0.399,1.169,17.748,0.26,1565.603,68354.993,1.535,22904000.0,1020000000000.0,0.0,1.0,0.0,1.0,0.0,0.4600197539732422,0.4841414443997848,0.3503920759389187,-0.3248730964467004,0.08114035087719303,0.09904514504254053,-0.31473214285714296
23,Australia,2013,397.943,0.394,1.137,17.112,0.253,1573.547,67664.905,1.558,23255000.0,1010000000000.0,0.0,1.0,0.0,1.0,0.0,0.42926461345065986,0.4916721016828328,0.371086610459289,-0.33333333333333326,0.04239766081871332,0.087949571291957,-0.30446428571428574
24,Australia,2014,394.117,0.386,1.118,16.703,0.247,1598.611,67749.236,1.567,23596000.0,1020000000000.0,0.0,1.0,0.0,1.0,0.0,0.4155230313369848,0.515431970029046,0.391191557101586,-0.3468697123519458,0.017482943469785517,0.08930548652300076,-0.30044642857142867
25,Australia,2015,401.555,0.382,1.14,16.779,0.248,1619.23,67659.602,1.542,23932000.0,1050000000000.0,0.0,1.0,0.0,1.0,0.0,0.4422375864236329,0.5349781209000388,0.4110017098048464,-0.35363790186125205,0.022112573099415177,0.08786430705377385,-0.3116071428571429
26,Australia,2016,411.032,0.384,1.167,16.941,0.249,1653.012,68128.936,1.545,24263000.0,1070000000000.0,0.0,1.0,0.0,1.0,0.0,0.4762754781359431,0.5670023737117117,0.43051706856907024,-0.3502538071065989,0.03198099415204669,0.09541048958506894,-0.31026785714285726
27,Austria,1990,62.125,0.332,0.274,8.043,0.191,324.777,42047.793,1.737,7724000.0,187000000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Austria,1991,65.726,0.33,0.284,8.456,0.193,341.16,43890.335,1.714,7773000.0,199000000000.0,0.0,1.0,0.0,0.0,0.0,0.057963782696177045,0.05044384300612432,0.0063438632832729155,-0.006024096385542173,0.05134899912967802,0.043820183380373884,-0.01324122049510658
29,Austria,1992,60.204,0.292,0.268,7.688,0.18,334.478,42712.07,1.624,7831000.0,206000000000.0,0.0,1.0,0.0,0.0,0.0,-0.030921529175050293,0.02986972599660697,0.013852925945106162,-0.12048192771084347,-0.04413775954245923,0.01579814189058631,-0.06505469199769717
30,Austria,1993,60.635,0.289,0.267,7.683,0.178,339.994,43080.881,1.619,7892000.0,210000000000.0,0.0,1.0,0.0,0.0,0.0,-0.02398390342052317,0.04685368729928548,0.021750388399792854,-0.12951807228915674,-0.044759418127564274,0.024569375139380168,-0.06793321819228561
31,Austria,1994,61.002,0.275,0.267,7.676,0.18,338.191,42555.844,1.523,7947000.0,222000000000.0,0.0,1.0,0.0,0.0,0.0,-0.01807645875251505,0.04130218580749249,0.028871051268772655,-0.17168674698795178,-0.04562974014671132,0.012082703127843108,-0.12320092112838237
32,Austria,1995,64.065,0.277,0.275,8.018,0.181,354.517,44370.149,1.535,7990000.0,231000000000.0,0.0,1.0,0.0,0.0,0.0,0.03122736418511063,0.09157052377477472,0.03443811496633868,-0.16566265060240962,-0.003108292925525125,0.05523134115505182,-0.11629245826137027
33,Austria,1996,67.422,0.288,0.28,8.409,0.189,356.067,44408.472,1.522,8018000.0,234000000000.0,0.0,1.0,0.0,0.0,0.0,0.08526358148893355,0.09634302921697048,0.038063179699637496,-0.13253012048192783,0.0455054084296906,0.056142756410544635,-0.12377662636729998
34,Austria,1997,67.233,0.27,0.278,8.37,0.185,363.147,45206.934,1.458,8033000.0,249000000000.0,0.0,1.0,0.0,0.0,0.0,0.0822213279678069,0.11814260246261282,0.04000517866390471,-0.18674698795180722,0.040656471465870946,0.07513214783948359,-0.16062176165803116
35,Austria,1998,66.875,0.255,0.277,8.317,0.181,368.728,45855.933,1.407,8041000.0,262000000000.0,0.0,1.0,0.0,0.0,0.0,0.07645875251509054,0.13532670109028663,0.04104091144484723,-0.23192771084337352,0.034066890463757424,0.09056694128987934,-0.1899827288428325
36,Austria,1999,65.563,0.241,0.268,8.143,0.174,376.351,46745.875,1.384,8051000.0,272000000000.0,0.0,1.0,0.0,0.0,0.0,0.05534004024144873,0.1587981907585821,0.042335577421025374,-0.27409638554216875,0.012433171702101384,0.11173195225728025,-0.20322394933793908
37,Austria,2000,66.163,0.23,0.263,8.2,0.175,377.378,46768.93,1.31,8069000.0,288000000000.0,0.0,1.0,0.0,0.0,0.0,0.06499798792756534,0.16196036049350784,0.044665976178146036,-0.3072289156626506,0.0195200795722989,0.11228025689719322,-0.24582613701784686
38,Austria,2001,70.103,0.248,0.277,8.657,0.179,392.608,48482.101,1.387,8098000.0,283000000000.0,0.0,1.0,0.0,0.0,0.0,0.1284185110663983,0.20885407525779234,0.04842050750906266,-0.2530120481927711,0.0763396742509015,0.15302367950679374,-0.201496833621186
39,Austria,2002,71.919,0.246,0.278,8.842,0.182,394.277,48472.707,1.35,8134000.0,292000000000.0,0.0,1.0,0.0,0.0,0.0,0.15764989939637822,0.21399298595651786,0.053081305023303986,-0.2590361445783133,0.0993410418997888,0.15280026706752492,-0.22279792746113988
40,Austria,2003,77.554,0.265,0.285,9.486,0.193,400.823,49024.339,1.368,8176000.0,293000000000.0,0.0,1.0,0.0,0.0,0.0,0.24835412474849097,0.2341483541014296,0.0585189021232522,-0.20180722891566266,0.1794106676613206,0.16591943363115402,-0.21243523316062174
41,Austria,2004,77.674,0.256,0.273,9.453,0.19,407.873,49637.665,1.346,8217000.0,303000000000.0,0.0,1.0,0.0,0.0,0.0,0.2502857142857144,0.25585555627399725,0.0638270326255826,-0.22891566265060243,0.17530772099962705,0.18050583534788622,-0.22510074841681058
