"Year","Year_num","Location","Parameter","Time","Group","Manip1","Manip2","Metric","Value"
1990-01-01,1990,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0
1991-01-01,1991,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.00520068240998466
1992-01-01,1992,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0232989135314715
1993-01-01,1993,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0388255364999551
1994-01-01,1994,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0559935350633024
1995-01-01,1995,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0969201759899435
1996-01-01,1996,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.121889198168268
1997-01-01,1997,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.152177426596031
1998-01-01,1998,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.2020651881117
1999-01-01,1999,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.235751099937146
2000-01-01,2000,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.257771392655114
2001-01-01,2001,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.284615246475711
2002-01-01,2002,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.300924845110892
2003-01-01,2003,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.327919547454431
2004-01-01,2004,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.376331148424172
2005-01-01,2005,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.388212265421568
2006-01-01,2006,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.410365448504983
2007-01-01,2007,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.436085121666517
2008-01-01,2008,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.45251683577265
2009-01-01,2009,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.46345694531741
2010-01-01,2010,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.456417347580138
2011-01-01,2011,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.451640477686989
2012-01-01,2012,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.460019753973242
2013-01-01,2013,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.42926461345066
2014-01-01,2014,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.415523031336985
2015-01-01,2015,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.442237586423633
2016-01-01,2016,"Australia","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.476275478135943
1990-01-01,1990,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0
1991-01-01,1991,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.057963782696177
1992-01-01,1992,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.0309215291750503
1993-01-01,1993,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.0239839034205232
1994-01-01,1994,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.0180764587525151
1995-01-01,1995,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0312273641851106
1996-01-01,1996,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0852635814889336
1997-01-01,1997,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0822213279678069
1998-01-01,1998,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0764587525150905
1999-01-01,1999,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0553400402414487
2000-01-01,2000,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0649979879275653
2001-01-01,2001,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.128418511066398
2002-01-01,2002,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.157649899396378
2003-01-01,2003,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.248354124748491
2004-01-01,2004,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.250285714285714
2005-01-01,2005,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.274720321931589
2006-01-01,2006,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.23779476861167
2007-01-01,2007,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.195380281690141
2008-01-01,2008,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.184515090543259
2009-01-01,2009,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0864225352112676
2010-01-01,2010,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.159146881287726
2011-01-01,2011,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.125118712273642
2012-01-01,2012,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0818350100603622
