"Year","Location","Population","GDP","Metric","Value"
1965-01-01,"World",2941496492,NA,"CO2_Avg",320.035833333333
1966-01-01,"World",3012154141,NA,"CO2_Avg",321.369166666667
1967-01-01,"World",3084777870,NA,"CO2_Avg",322.180833333333
1968-01-01,"World",3158676482,NA,"CO2_Avg",323.05
1969-01-01,"World",3233298660,NA,"CO2_Avg",324.623333333333
1970-01-01,"World",3308545637,NA,"CO2_Avg",325.681666666667
1971-01-01,"World",3384405863,NA,"CO2_Avg",326.319166666667
1972-01-01,"World",3460533089,NA,"CO2_Avg",327.456666666667
1973-01-01,"World",3536544744,NA,"CO2_Avg",329.6775
1974-01-01,"World",3612210197,NA,"CO2_Avg",330.191666666667
1975-01-01,"World",3687353039,NA,"CO2_Avg",331.115833333333
1976-01-01,"World",3762133396,NA,"CO2_Avg",332.026666666667
1977-01-01,"World",3837093416,NA,"CO2_Avg",333.843333333333
1978-01-01,"World",3913000500,NA,"CO2_Avg",335.415
1979-01-01,"World",3990443434,NA,"CO2_Avg",336.835833333333
1980-01-01,"World",4069413011,NA,"CO2_Avg",338.7625
1981-01-01,"World",4149814343,NA,"CO2_Avg",340.12
1982-01-01,"World",4232021477,NA,"CO2_Avg",341.479166666667
1983-01-01,"World",4316468531,NA,"CO2_Avg",343.1525
1984-01-01,"World",4403351538,NA,"CO2_Avg",344.848333333333
1985-01-01,"World",4492867087,NA,"CO2_Avg",346.351666666667
1986-01-01,"World",4584615913,NA,"CO2_Avg",347.6075
1987-01-01,"World",4677443663,NA,"CO2_Avg",349.3125
1988-01-01,"World",4769788988,NA,"CO2_Avg",351.69
1989-01-01,"World",4860478668,NA,"CO2_Avg",353.205
1990-01-01,"World",4949139722,NA,"CO2_Avg",354.4525
1991-01-01,"World",5035926245,NA,"CO2_Avg",355.704166666667
1992-01-01,"World",5120856349,NA,"CO2_Avg",356.545
1993-01-01,"World",5204126862,NA,"CO2_Avg",357.215833333333
1994-01-01,"World",5285934053,NA,"CO2_Avg",358.959166666667
1995-01-01,"World",5366203274,NA,"CO2_Avg",360.968333333333
1996-01-01,"World",5444966074,NA,"CO2_Avg",362.743333333333
1997-01-01,"World",5522693794,NA,"CO2_Avg",363.8775
1998-01-01,"World",5600016172,NA,"CO2_Avg",366.84
1999-01-01,"World",5677433090,NA,"CO2_Avg",368.54
2000-01-01,"World",5755121708,NA,"CO2_Avg",369.7075
2001-01-01,"World",5833112736,NA,"CO2_Avg",371.319166666667
2002-01-01,"World",5911575653,NA,"CO2_Avg",373.453333333333
2003-01-01,"World",5990653377,NA,"CO2_Avg",375.983333333333
2004-01-01,"World",6070446819,NA,"CO2_Avg",377.698333333333
2005-01-01,"World",6151031216,NA,"CO2_Avg",379.983333333333
2006-01-01,"World",6232418289,NA,"CO2_Avg",382.090833333333
2007-01-01,"World",6314543848,NA,"CO2_Avg",384.025
2008-01-01,"World",6397290490,NA,"CO2_Avg",385.83
2009-01-01,"World",6480536012,NA,"CO2_Avg",387.643333333333
2010-01-01,"World",6564238021,NA,"CO2_Avg",390.101666666667
2011-01-01,"World",6648311422,NA,"CO2_Avg",391.850833333333
2012-01-01,"World",6732526108,NA,"CO2_Avg",394.055833333333
2013-01-01,"World",6816596915,NA,"CO2_Avg",396.7375
2014-01-01,"World",6900283068,NA,"CO2_Avg",398.870833333333
2015-01-01,"World",6983718528,NA,"CO2_Avg",401.0125
2016-01-01,"World",7067016349,NA,"CO2_Avg",404.4125
2017-01-01,"World",7547858925,NA,"CO2_Avg",406.758333333333
2018-01-01,"World",7631091040,NA,"CO2_Avg",408.715
2019-01-01,"World",7713468100,NA,"CO2_Avg",411.654166666667
1965-01-01,"World",2941496492,NA,"Temperature",-0.05
1966-01-01,"World",3012154141,NA,"Temperature",-0.06
1967-01-01,"World",3084777870,NA,"Temperature",-0.05
1968-01-01,"World",3158676482,NA,"Temperature",-0.03
1969-01-01,"World",3233298660,NA,"Temperature",-0.02
1970-01-01,"World",3308545637,NA,"Temperature",0
1971-01-01,"World",3384405863,NA,"Temperature",0
1972-01-01,"World",3460533089,NA,"Temperature",0
1973-01-01,"World",3536544744,NA,"Temperature",0
1974-01-01,"World",3612210197,NA,"Temperature",0
1975-01-01,"World",3687353039,NA,"Temperature",0.02
1976-01-01,"World",3762133396,NA,"Temperature",0.04
1977-01-01,"World",3837093416,NA,"Temperature",0.07
1978-01-01,"World",3913000500,NA,"Temperature",0.12
1979-01-01,"World",3990443434,NA,"Temperature",0.16
1980-01-01,"World",4069413011,NA,"Temperature",0.2
1981-01-01,"World",4149814343,NA,"Temperature",0.21
1982-01-01,"World",4232021477,NA,"Temperature",0.21
1983-01-01,"World",4316468531,NA,"Temperature",0.21
1984-01-01,"World",4403351538,NA,"Temperature",0.21
1985-01-01,"World",4492867087,NA,"Temperature",0.22
1986-01-01,"World",4584615913,NA,"Temperature",0.24
1987-01-01,"World",4677443663,NA,"Temperature",0.27
1988-01-01,"World",4769788988,NA,"Temperature",0.31
1989-01-01,"World",4860478668,NA,"Temperature",0.33
1990-01-01,"World",4949139722,NA,"Temperature",0.33
1991-01-01,"World",5035926245,NA,"Temperature",0.33
1992-01-01,"World",5120856349,NA,"Temperature",0.33
1993-01-01,"World",5204126862,NA,"Temperature",0.33
1994-01-01,"World",5285934053,NA,"Temperature",0.34
1995-01-01,"World",5366203274,NA,"Temperature",0.37
1996-01-01,"World",5444966074,NA,"Temperature",0.4
1997-01-01,"World",5522693794,NA,"Temperature",0.42
1998-01-01,"World",5600016172,NA,"Temperature",0.44
1999-01-01,"World",5677433090,NA,"Temperature",0.47
2000-01-01,"World",5755121708,NA,"Temperature",0.5
2001-01-01,"World",5833112736,NA,"Temperature",0.52
2002-01-01,"World",5911575653,NA,"Temperature",0.55
2003-01-01,"World",5990653377,NA,"Temperature",0.59
2004-01-01,"World",6070446819,NA,"Temperature",0.61
2005-01-01,"World",6151031216,NA,"Temperature",0.62
2006-01-01,"World",6232418289,NA,"Temperature",0.63
2007-01-01,"World",6314543848,NA,"Temperature",0.64
2008-01-01,"World",6397290490,NA,"Temperature",0.64
2009-01-01,"World",6480536012,NA,"Temperature",0.65
2010-01-01,"World",6564238021,NA,"Temperature",0.65
2011-01-01,"World",6648311422,NA,"Temperature",0.67
2012-01-01,"World",6732526108,NA,"Temperature",0.7
2013-01-01,"World",6816596915,NA,"Temperature",0.74
2014-01-01,"World",6900283068,NA,"Temperature",0.79
2015-01-01,"World",6983718528,NA,"Temperature",0.83
2016-01-01,"World",7067016349,NA,"Temperature",0.88
2017-01-01,"World",7547858925,NA,"Temperature",0.91
2018-01-01,"World",7631091040,NA,"Temperature",0.95
2019-01-01,"World",7713468100,NA,"Temperature",0.98
1965-01-01,"World",2941496492,NA,"Fossil_Fuels_TWh",18109
1966-01-01,"World",3012154141,NA,"Fossil_Fuels_TWh",19496
1967-01-01,"World",3084777870,NA,"Fossil_Fuels_TWh",20891
1968-01-01,"World",3158676482,NA,"Fossil_Fuels_TWh",22675
1969-01-01,"World",3233298660,NA,"Fossil_Fuels_TWh",24577
1970-01-01,"World",3308545637,NA,"Fossil_Fuels_TWh",26708
1971-01-01,"World",3384405863,NA,"Fossil_Fuels_TWh",28205
1972-01-01,"World",3460533089,NA,"Fossil_Fuels_TWh",30378
1973-01-01,"World",3536544744,NA,"Fossil_Fuels_TWh",32746
1974-01-01,"World",3612210197,NA,"Fossil_Fuels_TWh",32272
1975-01-01,"World",3687353039,NA,"Fossil_Fuels_TWh",31948
1976-01-01,"World",3762133396,NA,"Fossil_Fuels_TWh",34030
1977-01-01,"World",3837093416,NA,"Fossil_Fuels_TWh",35215
1978-01-01,"World",3913000500,NA,"Fossil_Fuels_TWh",36426
1979-01-01,"World",3990443434,NA,"Fossil_Fuels_TWh",37024
1980-01-01,"World",4069413011,NA,"Fossil_Fuels_TWh",35577
1981-01-01,"World",4149814343,NA,"Fossil_Fuels_TWh",34296
1982-01-01,"World",4232021477,NA,"Fossil_Fuels_TWh",33198
1983-01-01,"World",4316468531,NA,"Fossil_Fuels_TWh",32969
1984-01-01,"World",4403351538,NA,"Fossil_Fuels_TWh",33739
1985-01-01,"World",4492867087,NA,"Fossil_Fuels_TWh",33789
1986-01-01,"World",4584615913,NA,"Fossil_Fuels_TWh",34803
1987-01-01,"World",4677443663,NA,"Fossil_Fuels_TWh",35499
1988-01-01,"World",4769788988,NA,"Fossil_Fuels_TWh",36703
1989-01-01,"World",4860478668,NA,"Fossil_Fuels_TWh",37300
1990-01-01,"World",4949139722,NA,"Fossil_Fuels_TWh",37691
1991-01-01,"World",5035926245,NA,"Fossil_Fuels_TWh",37691
1992-01-01,"World",5120856349,NA,"Fossil_Fuels_TWh",38344
1993-01-01,"World",5204126862,NA,"Fossil_Fuels_TWh",38099
1994-01-01,"World",5285934053,NA,"Fossil_Fuels_TWh",38935
1995-01-01,"World",5366203274,NA,"Fossil_Fuels_TWh",39445
1996-01-01,"World",5444966074,NA,"Fossil_Fuels_TWh",40380
1997-01-01,"World",5522693794,NA,"Fossil_Fuels_TWh",41413
1998-01-01,"World",5600016172,NA,"Fossil_Fuels_TWh",41624
1999-01-01,"World",5677433090,NA,"Fossil_Fuels_TWh",42371
2000-01-01,"World",5755121708,NA,"Fossil_Fuels_TWh",42897
2001-01-01,"World",5833112736,NA,"Fossil_Fuels_TWh",43278
2002-01-01,"World",5911575653,NA,"Fossil_Fuels_TWh",43639
2003-01-01,"World",5990653377,NA,"Fossil_Fuels_TWh",44610
2004-01-01,"World",6070446819,NA,"Fossil_Fuels_TWh",46256
2005-01-01,"World",6151031216,NA,"Fossil_Fuels_TWh",46824
2006-01-01,"World",6232418289,NA,"Fossil_Fuels_TWh",47367
